,,,,,,,,,,,,,,,
,Item,Description,Current Status,Estimated Time to Complete,Due Date,Note,,,,,,,,,
,Bridal Perfume,Pick wedding day fragrance; test for sensitivity and longevity.,TBP,,,,,,,,,,,,
,Bridal Party Outfit - Seb,"Confirm outfit, sizing, and fittings for Seb.",DONE,,,,,,,,,,,,
,Bridal Party Outfit - Molly,"Confirm outfit, sizing, and fittings for Molly.",DONE,,,,,,,,,,,,
,Bridal Party Outfit - Hannah,"Confirm outfit, sizing, and fittings for Hannah.",DONE,,,,,,,,,,,,
,Bridal Party Outfit - Emma,"Confirm outfit, sizing, and fittings for Emma.",IN PROGRESS,,,,,,,,,,,,
,Bridal Wedding Dress Alters,"Schedule alterations; hem, bustle, fit checks; final try on date.",DONE,,,,,,,,,,,,
,Groom's Suit,Choose suit/tux; schedule tailoring and pickup date.,DONE,,,,,,,,,,,,
,Grooms Party Outfits (Hire),Reserve hire outfits; collect measurements and arrange pickup/return.,AWAITING CONFIRMATION - TO BE PAID,,,,,,,,,,,,
,Family Grooming,Book barber/hair/makeup for family; share day of timeline.,DONE,,,Booked for 3 people at my house at this time at 8am ,,,,,,,,,
,Make Up Artist,Book MUA; trial look; confirm timeline and touch up kit.,DONE,,,,,,,,,,,,
,Hair Stylist,Book hair stylist; trial style; confirm accessories and timing.,DONE,,,,,,,,,,,,
,2nd Dress,Purchase/alter second look; ensure bustle/hem for dancing.,DONE,,,,,,,,,,,,
,Facial procedures,Plan facials/skin treatments; schedule final treatment 1â€“2 weeks before.,IN PROGRESS,,,,,,,,,,,,
,Fake Tan,Trial tan; schedule final application 2â€“3 days before wedding.,TBO,,,,,,,,,,,,
,Nails,Book mani/pedi for bridal party; choose colors.,TBO,,,,,,,,,,,,
,Hair Cut/Colour,Schedule cut/colour; final touch up 1â€“2 weeks before.,TBO,,,,,,,,,,,,
,Facial Waxing / Body Waxing,Book waxing; final appointment 3â€“5 days before wedding.,TBO,,,,,,,,,,,,
,Wedding rings,"Order rings; confirm engraving, sizing, insurance, and pickup.",DONE,,,,,,,,,,,,
,Bridal Dressing Robe,Buy robe for getting ready photos; ensure correct size.,DONE,,,"https://au.shein.com/Contrast-Lace-Belted-Satin-Robe-Luxeloungewear,-Fall-Cozy-And-Elegant-Details-p-14084432.html?mallCode=1",,,,,,,,,
,Silk Slip / Nighty,Purchase nightwear for wedding night/honeymoon.,DONE,,,https://au.shein.com/Sexy-Lingerie-Bodysuit-Hollowed-Out-Jumpsuit-Lace-No-Strip-Tights-Women-s-Erotic-Jumpsuits-And-Corsets-p-160477099.html?src_identifier=st%3D2%60sc%3Dregal%20lingere%60sr%3D0%60ps%3D1&src_module=search&src_tab_page_id=page_search1769235260237&mallCode=1&pageListType=4&imgRatio=3-4&detailBusinessFrom=0-1_160477099%7C0-2&pageListType=4,https://au.shein.com/Ladies-Sexy-Lingerie-Dark-Green-Slip-Dress-For-Rave-For-Going-Out-Lingerie-For-Women-Sexy-Valentine-s-Day-Sexy-Lingerie-p-32792287.html?src_identifier=st%3D2%60sc%3Dhigh%20fantasy%20lingere%60sr%3D0%60ps%3D1&src_module=search&src_tab_page_id=page_search1769235247634&mallCode=1&pageListType=4&imgRatio=3-4&detailBusinessFrom=0-1_32792287%7C0-2&pageListType=4,https://au.shein.com/AltCore-Women-Sexy-Lingerie-Bodysuit-Hollow-Bowknot-UV-Light-Reactive-Luminous-Nightclub-Outfit-For-Going-Out-p-42054004.html?src_identifier=fc%3DCurve%60sc%3DUnderwear%20%26%20Sleepwear%60tc%3DWomen%20Sexy%20Lingerie%20%26%20Costumes%60oc%3DView%20All%60ps%3Dtab06navbar11menu05dir01%60jc%3Dreal_4292&src_module=topcat&src_tab_page_id=page_ad_landing1762687769066&attr_ids=27_739-27_103&pageListType=4,https://au.shein.com/1pc-Summer-Dress-Sexy-Lace-Lingerie-Teddy-Nightgown-Valentine-s-Day-Sexy-Sheer-Deep-V-Neck-Backless-Mesh-Camisole-Sleepwear-Comes-With-Shorts-p-103016807.html?src_identifier=st%3D2%60sc%3Dwedding%20lingere%60sr%3D0%60ps%3D1&src_module=search&src_tab_page_id=page_search1769235157420&mallCode=1&pageListType=4&imgRatio=3-4&detailBusinessFrom=0-1_103016807%7C0-2&pageListType=4,https://au.shein.com/Crystal-Vow-2pcs-Set-Lace-Contrast-Mesh-Sleepwear-With-Headband-Sexy-Nightgown-Babydoll-Underwear-Outer-For-Going-Out-p-44374354.html?src_identifier=fc%3DCurve%60sc%3DUnderwear%20%26%20Sleepwear%60tc%3DWomen%20Sexy%20Lingerie%20%26%20Costumes%60oc%3DView%20All%60ps%3Dtab06navbar11menu05dir01%60jc%3Dreal_4292&src_module=topcat&src_tab_page_id=page_ad_landing1762687769066&attr_ids=27_739-27_103&pageListType=4,https://au.shein.com/SHEIN-5pcs-Plus-Size-Lace-Lingerie-Set-Halter-Sexy-Lingerie-Garter-Belt-G-String-1-Pair-Thigh-High-Fishnet-Stockings-Garter-Belt-Lingerie-Set-Black-Lace-Lingerie-Set-3-Piece-Lingerie-Set-p-153433100.html?src_identifier=st%3D2%60sc%3D5pcs%20Floral%20Lace%20Underwire%20Garter%20Lingerie%20Set%60sr%3D0%60ps%3D1&src_module=search&src_tab_page_id=page_goods_detail1769234898691&mallCode=1&pageListType=4&imgRatio=3-4&detailBusinessFrom=0-1_153433100%7C0-2&pageListType=4,https://au.shein.com/DelicateAllure-Pearl-Chain-Backless-Gathered-Camisole-Body-Con-Skirt-Romantic-Floral-Sexy-Nightgown-Babydoll-For-Women-Summer-Babydoll-Dress-p-70288158.html?src_identifier=fc%3DCurve%60sc%3DUnderwear%20%26%20Sleepwear%60tc%3DWomen%20Sexy%20Lingerie%20%26%20Costumes%60oc%3DView%20All%60ps%3Dtab06navbar11menu05dir01%60jc%3Dreal_4292&src_module=topcat&src_tab_page_id=page_ad_landing1762687769066&attr_ids=27_739-27_103&pageListType=4,https://au.shein.com/Crystal-Vow-2pcs-Set-Lace-Trim-Mesh-Backless-Bowknot-Back-Sexy-Nightgown-Babydoll-With-Matching-G-String-Panties-Bowknot-For-Going-Out-p-68156386.html?src_identifier=fc%3DCurve%60sc%3DUnderwear%20%26%20Sleepwear%60tc%3DWomen%20Sexy%20Lingerie%20%26%20Costumes%60oc%3DView%20All%60ps%3Dtab06navbar11menu05dir01%60jc%3Dreal_4292&src_module=topcat&src_tab_page_id=page_ad_landing1762687769066&attr_ids=27_739-27_103&pageListType=4,https://au.shein.com/DelicateAllure-Pearl-Chain-Backless-Gathered-Camisole-Body-Con-Skirt-Romantic-Floral-Sexy-Nightgown-Babydoll-For-Women-Summer-Babydoll-Dress-p-70288158.html?src_identifier=fc%3DCurve%60sc%3DUnderwear%20%26%20Sleepwear%60tc%3DWomen%20Sexy%20Lingerie%20%26%20Costumes%60oc%3DView%20All%60ps%3Dtab06navbar11menu05dir01%60jc%3Dreal_4292&src_module=topcat&src_tab_page_id=page_ad_landing1762687769066&attr_ids=27_739-27_103&pageListType=4,
,Pyjamas for Bridal Party - Embroidery,Order matching PJs; confirm names/initials and delivery date.,DONE,,, ,,,,,,,,,
,Slippers for Bridal Party,Buy slippers for getting ready comfort and photos.,IN PROGRESS,,,https://www.etsy.com/au/listing/1784784433/custom-fluffy-slippersbride-slipper?gpla=1&gao=1&utm_source=google&utm_medium=cpc&utm_campaign=shopping_au_en_au_d-weddings&utm_custom1=_k_CjwKCAiAlMHIBhAcEiwAZhZBUlkNLnhrEUu8hlmfChrhuVth2X-mnyi42A0GZfL-d4CE650QDtlpgBoCrVgQAvD_BwE_k_&utm_content=go_22110856730_176942315727_728668009871_aud-2087868701203%3Apla-298195655715_c__1784784433enau_102845289&utm_custom2=22110856730&gad_source=1&gad_campaignid=22110856730&gbraid=0AAAAADutTMdmDfNmFKUWoNgkCn_UytWgE&gclid=CjwKCAiAlMHIBhAcEiwAZhZBUlkNLnhrEUu8hlmfChrhuVth2X-mnyi42A0GZfL-d4CE650QDtlpgBoCrVgQAvD_BwE&variation0=4721726156&variation1=4721726140,,,,,,,,,
,Table name cards,Design and print place cards; confirm guest names and dietary notes.,IN PROGRESS - canva,,,,,,,,,,,,
,Table menu cards,Design and print menus per table/place; confirm final menu.,"IN PROGRESS - canva designs and print, add ribons manual",,,"https://au.shein.com/ark/3715?goods_id=74861663&test=5051&url_from=adhub661610116&scene=1&pf=google&ad_type=DPA&language=en&siteuid=au&version_bid=101682411,101507551,100710741,101545096,101682511&version_eid=100647471&landing_page_id=3715&ad_test_id=43125&requestId=olw-56mqa2kycw7b&cid=22395489741&gad_source=1&skucode=I99x5q3e3kx4&onelink=0/googlefeed_au&network=g&gad_campaignid=22395489741&gclid=CjwKCAiAlMHIBhAcEiwAZhZBUj1CbJcNbJol2Rf7paLHUgNUi_Xt-KUuHXO5MGAw5PT0_IiAnudZphoCVhYQAvD_BwE&adid=743541452044&tv_b=2&geoid=9071219&gbraid=0AAAAADm0yO6yVOGutvCDsaoBXK9tJH8R-&setid=180489241867&kwd=pla-2435758443963&currency=AUD&lang=en",,,,,,,,,
,Guest book,Select guest book/alternative; provide pens/instax if needed.,DONE,,,,,,,,,,,,
,Song List for Live Musicians,Provide full set list and special requests; share schedule.,TBO,,,,,,,,,,,,
,Final Song,Choose final track to close the night; confirm cue with DJ.,TBO,,,,,,,,,,,,
,Couple's narrative for Celebrant,Write relationship story and key moments; send to celebrant.,DONE,,,,,,,,,,,,
,Wedding Vows,Draft and finalize vows; print clean copies for the day.,TBO,,,,,,,,,,,,
,Wedding Speeches,Assign speakers; draft and time speeches; prepare prints.,IN PROGRESS,,,"Figured that we will do 5 speeches: Parents Waters, Parents Ballards, Holly & Russell, Groom Party, Brides Party ",,,,,,,,,
 ,MC - confirm order and instructions ,"Confirm MC; share run sheet, vendor intros, and cues.",IN PROGRESS,,,,,,,,,,,,
,Confetti,Flower petals which are ordered,DONE,,,,,,,,,,,,
,Ceremony Plan / Seating plan - reserved seats / Witnesses / Reader,"Draft ceremony flow; assign reserved seating, witnesses, and a reader.",TBO,,,,,,,,,,,,
,Marriage Licence,Apply for and collect marriage licence per state requirements.,IN PROGRESS,,,,,,,,,,,,
,Dance lessons,Book lessons; decide on first dance style and track.,IN PROGRESS,,DUE 13TH NOV,,,,,,,,,,
,Honeymoon,"Choose destination; book flights, stays, transfers, and activities.",IN PROGRESS,,,"Flights booked, locations booked, some activities confirmed, need to book",,,,,,,,,
,Pet handler,Arrange pet care/handler for photos/attendance; confirm logistics.,N/A Jinx will stay home,,,,,,,,,,,,
,Organise pre wedding free photo shoot with jinx and first look,,IN PROGRESS,,,"1st of March, Sunday 3:30pm ",,,,,,,,,
,"Setup recovery day, purchase food and let people know ","Arrange food purchasing, let people know, ensure house is setup for recovery day prior to wedding ",TBO,,,,,,,,,,,,
,"Get in touch with everyone, confirm attendance, wishing well info",,IN PROGRESS,,,"Website is live, just need to message everyone ",,,,,,,,,
,Create Website ,,DONE,,,,,,,,,,,,
,Create list of photos + people we want to take with everyone,,DONE,,,,,,,,,,,,
,Create an order of the day and share with relevant people,,DONE,,,,,,,,,,,,
,https://www.instagram.com/stories/highlights/17985768581628952/?hl=en,,,,,,,,,,,,,,
